sender_account,receiver_account,upi_handle,phone_number,amount,timestamp,ip_address
771109283411,918800112233,9876543210@paytm,+919411223344,125000.00,2026-03-10 10:15:20,157.34.22.19
918800112233,887766554433,9988776655@ibl,+919876543210,120000.00,2026-03-10 10:28:45,103.21.144.68
501002348911,918800112233,9876543210@paytm,+919876543210,45000.00,2026-03-10 10:32:10,103.21.144.68
887766554433,401928374650,9123456789@ybl,+919988776655,70000.00,2026-03-10 10:42:30,103.21.144.68
887766554433,401928374650,9123456789@ybl,+919988776655,48000.00,2026-03-10 10:48:15,103.21.144.68
602201948271,918800112233,9876543210@paytm,+919876543210,28500.00,2026-03-10 10:55:00,103.21.144.68
918800112233,401928374650,9123456789@ybl,+919876543210,70000.00,2026-03-10 11:02:18,103.21.144.68
401928374650,119922883377,crypto.escrow@axisbank,,110000.00,2026-03-10 11:15:40,49.36.120.45
401928374650,990011223344,offshore.payout@yesbank,,75000.00,2026-03-10 11:22:10,49.36.120.45
102938475610,918800112233,9876543210@paytm,+919876543210,95000.00,2026-03-10 11:35:05,103.21.144.68
918800112233,887766554433,9988776655@ibl,+919876543210,90000.00,2026-03-10 11:48:22,103.21.144.68
887766554433,401928374650,9123456789@ybl,+919988776655,85000.00,2026-03-10 12:05:40,103.21.144.68
401928374650,119922883377,crypto.escrow@axisbank,,80000.00,2026-03-10 12:30:15,49.36.120.45
556677889900,223344556677,merchant.store@oksbi,,450.00,2026-03-10 13:00:00,182.72.90.14
112233445566,918800112233,9876543210@paytm,+919876543210,62000.00,2026-03-10 13:20:10,103.21.144.68
918800112233,401928374650,9123456789@ybl,+919876543210,60000.00,2026-03-10 13:35:25,103.21.144.68
401928374650,990011223344,offshore.payout@yesbank,,58000.00,2026-03-10 14:02:50,49.36.120.45
778899001122,887766554433,9988776655@ibl,+919988776655,31000.00,2026-03-10 14:30:00,103.21.144.68
