phone_number,imei,imsi,tower_id,call_type,timestamp,duration,ip_address
+919876543210,864209041234567,404450123456789,TOW-DL-0104,VOICE_OUT,2026-03-10 09:45:12,185,103.21.144.68
+919876543210,864209041234567,404450123456789,TOW-DL-0104,SMS_OUT,2026-03-10 10:02:45,0,103.21.144.68
+919876543210,864209041234567,404450123456789,TOW-DL-0104,VOICE_IN,2026-03-10 10:14:30,420,103.21.144.68
+919123456789,860123049876543,404450987654321,TOW-JH-0033,VOICE_OUT,2026-03-10 10:20:10,310,49.36.120.45
+919876543210,864209041234567,404450123456789,TOW-DL-0104,VOICE_OUT,2026-03-10 10:55:00,95,103.21.144.68
+919988776655,867890123456789,404450554433221,TOW-DL-0104,VOICE_IN,2026-03-10 11:00:15,60,103.21.144.68
+919988776655,867890123456789,404450554433221,TOW-DL-0104,SMS_OUT,2026-03-10 11:08:22,0,103.21.144.68
+919123456789,860123049876543,404450987654321,TOW-JH-0033,VOICE_IN,2026-03-10 11:22:45,145,49.36.120.45
+919876543210,864209041234567,404450123456789,TOW-DL-0219,VOICE_OUT,2026-03-10 12:05:18,210,103.21.144.68
+919411223344,863344556677889,404450667788990,TOW-DL-0219,VOICE_IN,2026-03-10 12:15:30,45,157.34.22.19
+919988776655,867890123456789,404450554433221,TOW-DL-0104,VOICE_OUT,2026-03-10 13:30:00,120,103.21.144.68
+919123456789,860123049876543,404450987654321,TOW-JH-0033,SMS_OUT,2026-03-10 14:10:05,0,49.36.120.45
+919876543210,864209049999999,404450123456789,TOW-DL-0219,VOICE_OUT,2026-03-10 14:45:50,540,103.21.144.68
+919555001122,869988112233445,404450889900112,TOW-MH-0512,VOICE_IN,2026-03-10 15:00:10,75,182.72.90.14
+919988776655,867890123456789,404450554433221,TOW-DL-0104,VOICE_IN,2026-03-10 15:20:40,300,103.21.144.68
+919123456789,860123049876543,404450987654321,TOW-JH-0033,VOICE_OUT,2026-03-10 16:05:12,180,49.36.120.45
+919876543210,864209048888888,404450123456789,TOW-DL-0219,SMS_OUT,2026-03-10 16:30:25,0,103.21.144.68
+919333445566,861122334455667,404450223344556,TOW-MH-0512,VOICE_OUT,2026-03-10 17:15:00,90,182.72.90.14
